date,Prophet_forecast,NeuralProphet_forecast,Ridge_forecast,LASSO_forecast,GBoosting_forecast,XGBoost_forecast,Ensemble_forecast,Stacking_ml_forecast,Stacking_dl_forecast,Stacking_ml_dl_forecast,RNN_forecast,LSTM_forecast,BidirectionalLSTM_forecast,close
2016-03-16,3149.076932157167,3142.963623046875,3109.8771149514732,3136.4629035297557,3141.188683376522,3128.212,3113.6178293914695,,,,3149.021,3133.4602,3123.437,3085.5
2016-03-17,3146.3422565047604,3140.91650390625,3123.469673149676,3097.2379839474024,3116.7189402190643,3111.828,3116.9176685864004,,,,3142.7388,3095.021,3106.6843,3118.5
2016-03-18,3141.5370616643345,3136.9111328125,3057.0420837498355,3090.5385756980763,3094.5251504230014,3074.3499,3062.2037568512706,,,,3120.5613,3099.9365,3070.4453,3030.89990234375
2016-03-21,3132.362563097311,3128.6396484375,3069.1830583885403,3055.710339145965,3062.2072495143952,3075.6526,3070.5763997470303,,,,3099.8208,3061.2625,3057.2805,3072.0
2016-03-22,3139.400129035746,3137.759765625,3030.6751315154124,3055.295848027565,3063.534001313404,3052.031,3045.1615119548424,,,,3102.4758,3066.4092,3059.3665,3028.0
2016-03-23,3133.6782524010546,3133.13623046875,3060.830506122315,3046.9170092982044,3047.714863454743,3045.0872,3055.629074245795,,,,3064.9155,3037.5273,3042.0159,3065.0
2016-03-24,3127.7864252136046,3130.220703125,3048.994903846294,3060.3713943489984,3069.709811268692,3062.4812,3069.566440910888,,,,3083.479,3036.4143,3030.826,3072.0
2016-03-25,3119.8429520332247,3125.333251953125,3078.923867124288,3074.8455316016507,3071.084521671411,3071.6074,3072.590209540321,,,,3081.2937,3053.1572,3021.2717,3072.0
2016-03-28,3101.8635300703572,3114.40185546875,3054.3540519769913,3058.2856028320352,3060.1799267764713,3041.0386,3032.7343714802105,,,,3091.475,3042.8325,3022.2227,3024.0
2016-03-29,3106.3209489886744,3122.653076171875,3052.1557795699728,3041.4539294883266,3052.6102591018002,3051.5205,3056.0821584827995,,,,3078.3176,3040.571,3030.7317,3058.0
2016-03-30,3098.2627678311655,3117.180908203125,3022.113337542804,3041.0984865176933,3039.702976116924,3039.1702,3026.117921889239,,,,3062.719,3034.0898,3021.3489,3010.199951171875
2016-03-31,3090.31163062914,3113.442626953125,3018.357921903186,3016.343369230825,3001.851132813948,2997.278,2997.866924201669,,,,3045.5251,2974.189,3038.7168,2999.0
2016-04-01,3080.6139870049865,3107.765625,3001.801135609988,3001.495029265278,3001.851132813948,2999.8674,3015.0234282194033,,,,3002.737,2965.5244,2931.7788,3033.0
2016-04-04,3059.4049442760424,3094.715576171875,3035.5980648802315,3038.2057167942444,3017.6864070934134,3053.1628,3049.4199480452135,,,,3042.378,2999.2747,2977.4006,3064.0
2016-04-05,3063.503852778008,3102.361572265625,3079.9130336749495,3064.118563990634,3046.2236050099145,3066.6973,3070.2816949892967,,,,3076.9546,3035.491,3002.0535,3084.0
2016-04-06,3055.4530870922204,3096.34130859375,3067.4235180120563,3065.163971179568,3043.3821508872397,3049.2673,3039.0165080254183,,,,3066.6396,3034.8074,3013.1697,3029.699951171875
2016-04-07,3047.8718009514173,3092.1162109375,3045.100019631545,3040.403421751128,3044.5933087099093,3049.4158,3036.3773984123686,,,,3057.1467,3014.8003,2995.1946,3038.10009765625
2016-04-08,3038.898210460986,3086.015869140625,3044.856265056525,3050.583864307099,3066.5033606021702,3067.8264,3080.3555925115024,,,,3039.3142,3023.6536,2978.2444,3092.0
2016-04-11,3021.839961119187,3072.1005859375,3066.749835892806,3074.6920279103447,3066.4635200502053,3064.8296,3059.724492163861,,,,3076.8516,3032.4448,3008.6448,3053.0
2016-04-12,3027.914321084146,3079.595703125,3063.3952572652415,3051.6787325412165,3046.2236050099145,3041.9934,3033.2439428385173,,,,3078.212,3040.0293,3011.375,3019.0
2016-04-13,3022.0930414979025,3073.4931640625,3011.1421486439654,3018.729902522014,3017.958551146189,3016.085,3011.661824946419,,,,3039.094,3014.8145,2998.784,3005.0
2016-04-14,3016.9661478609255,3069.25390625,2990.439589224537,3009.660814488989,3001.851132813948,2991.0042,2994.673381721721,,,,3029.689,2993.2134,2979.5747,2994.0
2016-04-15,3010.6406142059955,3063.205078125,2991.1443568138834,2997.2892612729593,2992.735476318132,2988.6362,2993.348912206412,,,,2999.4338,2978.0703,2942.6326,2997.0
2016-04-18,3002.3521776572543,3049.812255859375,2980.5931424732553,2990.0159665269043,2982.9601384508046,2984.5364,2978.2202979706926,,,,3007.5415,2959.5215,2948.2395,2969.0
2016-04-19,3011.5073753094707,3057.591796875,2949.1727434472323,2966.799627445975,2958.2150000231927,2946.1628,2926.9136341804206,,,,2997.6106,2963.894,2936.8704,2898.0
