date,Prophet_forecast,NeuralProphet_forecast,ElasticNet_forecast,Gboosting_forecast,XGBoost_forecast,Stacking_ml_forecast,Stacking_dl_forecast,Stacking_ml-dl_forecast,Ensemble_forecast,close,RNN_forecast,LSTM_forecast,BidirectionalLSTM_forecast,ESM_forecast,Ensemble_ml_forecast,Ensemble_dl_forecast,Ensemble_ml_dl_forecast,Weighted_ml_forecast,Weighted_dl_forecast,Weighted_ml_dl_forecast
2022-10-24,4315.396719703576,4304.4755859375,4913.96103861427,4418.714613448923,4387.984,4915.898800667953,4762.215200255268,4915.80013759964,4581.155859935494,4916.35009765625,4954.7583,4930.3555,5022.1924,4639.228844074637,4573.553179593981,4969.102066666666,4771.327623130324,4575.454878688196,4969.150293783003,4772.257624541019
2022-10-25,4327.615501930075,4317.96044921875,4979.763237037594,4423.224157627934,4405.4478,4987.457012187171,4791.498106074063,4987.354004214163,4607.246974452417,4988.25,5043.0225,5018.089,5127.964,4644.007173970409,4602.811716190593,5063.025166666666,4832.918441428629,4604.912565891456,5063.085711698436,4833.946813468674
2022-10-26,4328.950283572649,4321.69384765625,4973.316607319266,4418.714613448923,4453.9976,4973.204367059152,4813.814073246978,4973.102092241497,4615.161705337659,4973.4501953125,5104.435,5007.4165,5143.9688,4648.790425467887,4615.34292645398,5085.273433333333,4850.308179893656,4617.32195495215,5085.304598296746,4851.259831011743
2022-10-27,4328.53002171021,4320.41455078125,4891.671830294335,4418.714613448923,4404.14,4882.707041986955,4829.530242243705,4882.610515945683,4573.860403145684,4882.31982421875,5127.888,5057.205,5171.6187,4653.57860363624,4571.508860154003,5118.9039,4845.206380077001,4573.293051152552,5118.937092759803,4846.052757080749
2022-10-28,4328.837772665269,4323.03564453125,4806.9753246243345,4418.714613448923,4404.565,4798.727016916138,4824.655454889664,4798.635742453292,4547.643208547351,4798.259765625,5114.7393,5020.6875,5121.913,4658.371713549857,4543.418293159836,5085.779933333334,4814.599113246585,4544.887695163941,5085.788260850872,4815.2762048571485
2022-10-31,4333.157098712205,4327.00634765625,4831.205301277556,4418.714613448923,4385.136,4833.034503820996,4841.250515511047,4832.941104744856,4552.63995009409,4833.259765625,5056.8413,4936.8696,5029.328,4672.780684584643,4545.018715065076,5007.679633333333,4776.349174199205,4546.619887971959,5007.664498508211,4777.0895399803
2022-11-01,4346.62364681186,4340.88720703125,4927.457636785111,4423.714586565513,4410.911,4936.180119123293,4827.786377226672,4936.08063720815,4589.811774368256,4937.0,5070.966,5004.267,4971.3105,4677.59357232784,4587.361118721042,5015.5145,4801.43780936052,4589.255570328431,5015.446821284883,4802.302522949104
2022-11-02,4349.146963909842,4344.88623046875,4994.925346674796,4419.205042386502,4458.544,5001.520617874603,4846.592294888895,5001.416813840039,4622.455764289502,5002.25,5091.4487,4977.731,5027.4365,4682.411417266761,4624.2247781246,5032.2054,4828.2150890623,4626.273304057509,5032.164405207859,4829.172500138771
2022-11-03,4349.831071725537,4343.73779296875,5000.555135021552,4419.205042386502,4409.0063,5000.990226803872,4933.447680042771,5000.886456355262,4610.3332234714235,5001.27978515625,5142.0405,5069.2285,5109.471,4687.234224507238,4609.588841688102,5106.913333333333,4858.251087510717,4611.765264093095,5106.892997818916,4859.27258525827
2022-11-04,4351.134106396541,4346.3525390625,5061.120264394434,4419.205042386502,4409.431,5066.491084639224,4973.393652806375,5066.383069927919,4632.536411126967,5067.10986328125,5193.3623,5114.553,5181.6396,4692.061999160358,4629.9188197082285,5163.184966666667,4896.551893187448,4632.318768538664,5163.179486174434,4897.688500799734
2022-11-07,4357.546829118558,4349.47021484375,4968.907676252273,4419.205042386502,4392.85,4959.681647111522,4994.469564709221,4959.580473585374,4599.649791231495,4959.29443359375,5222.803,5172.336,5213.585,4706.575178785475,4593.654272098342,5202.907999999999,4898.2811360491705,4595.748322296243,5202.903288340681,4899.256465633266
2022-11-08,4371.341884672093,4362.791015625,5092.498268685651,4423.714586565513,4410.911,5104.903844792608,4944.189909658249,5104.793645714169,4644.825318335103,5106.0,5255.576,5192.042,5242.3447,4711.422874305435,4642.374662687888,5229.987566666667,4936.181114677278,4644.880727382474,5229.980492359667,4937.363788983849
2022-11-09,4373.9787474364575,4366.09765625,4981.875870576017,4419.205042386502,4458.544,4972.60736667263,4940.640296116566,4972.505399365507,4618.105938923243,4972.25,5284.6304,5154.204,5230.344,4716.275562872559,4619.8749527583395,5223.059466666667,4921.467209712503,4621.875119506781,5223.025888575245,4922.381850060705
2022-11-10,4374.547628586151,4364.12841796875,4904.848188616712,4419.205042386502,4409.0063,4895.299297867303,4948.133018751925,4895.202241483058,4578.4309080031435,4894.81005859375,5254.06,5142.6333,5187.168,4721.133249629605,4577.686526219822,5194.6204333333335,4886.153479776578,4579.508274625553,5194.577335325624,4886.972561467047
